127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/footer.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000408
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/jquery.js, HTTP/1.1, 200, 0.000578
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/web2py.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/calendar.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/css/calendar.css, HTTP/1.1, 200, 0.000494
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/js/share.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2017-01-04 19:59:08, GET, /SPE/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 200, 0.001147
127.0.0.1, 2017-01-04 19:59:09, GET, /SPE/static/images/home/header-usb.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2017-01-04 19:59:09, GET, /SPE/static/images/twitter.png, HTTP/1.1, 200, 0.001424
127.0.0.1, 2017-01-04 19:59:09, GET, /SPE/static/images/facebook.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2017-01-04 19:59:09, GET, /SPE/static/images/gplus-32.png, HTTP/1.1, 200, 0.001359
127.0.0.1, 2017-01-04 19:59:09, GET, /SPE/static/images/favicon.ico, HTTP/1.1, 200, 0.000380
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas, HTTP/1.1, 200, 0.115552
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000548
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/footer.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/calendar.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/general.css, HTTP/1.1, 404, 0.004634
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/css/navbar.css, HTTP/1.1, 200, 0.004601
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/jquery.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/web2py.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/calendar.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 200, 0.000555
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/js/share.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/aportes.gif, HTTP/1.1, 200, 0.000540
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/home/header-usb.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/twitter.png, HTTP/1.1, 200, 0.000614
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/facebook.png, HTTP/1.1, 200, 0.000493
127.0.0.1, 2017-01-04 20:56:15, GET, /Empresas/static/images/gplus-32.png, HTTP/1.1, 200, 0.000493
127.0.0.1, 2017-01-04 20:56:16, GET, /Empresas/static/images/favicon.ico, HTTP/1.1, 200, 0.000382
127.0.0.1, 2017-01-04 20:56:17, GET, /, HTTP/1.1, 200, 0.055560
127.0.0.1, 2017-01-04 22:41:49, GET, /, HTTP/1.1, 500, 0.021370
